text,perselisihan,infrastruktur,pemerintah,kesehatan,teknologi,administrasi,fasilitas,lingkungan,ketertiban,listrik,bahaya,lainnya,pungli,ilegal,lalulintas,bencana,air,pendidikan,kebersihan,sosial,wisata,sara,pencurian,korupsi,bbm,keuangan
mohon bantuannya untuk menormalkan sistem di lpse kabupaten demak dimana malam ini tgl 20 juni 2014 sammpai dengan pengaduan ini kami kirimkan belum bisa upload dokumen pewawaran dimana tahun 2013 kemaren kami juga mencoba mengikuti lelang di lpse kabupaten demak tetapi tidak bisa upload atau gagal demikian pengaduan ini atas perhatiannya diucapkan terima kasih file gagal upload terlampir,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ass pak gubsaya perangkat desa karangsari kec karangtengah demakdi desa kami tanah bondo deso sekitar 8 h yang tercatat dalam c desa selama ini dikuasai oleh tni ad dan sampai sekarang masih dalam sengketa kami sudah minta bantuan ke bupati dengan harapan dapat membantu dalam penyelesaian sengketa initapi pada kenyataanya bupati tidak melakukan bantuan yang memadaikami mohon bantuan pak gub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selamat sore bapak gubernur atau yang mewakilisaya ahmad rofiq ingin menyampaikan keluhan tentang lampu penerangan yang berada di jembatan desa kedungmutih kecwedung kabdemakbahwa lampu di jembatan tersebut sudah mati semua sehingga kalau malam gelap sekali dan dikawatirkan timbul halhal yang tidak diinginkanmohon lampunya segera diganti biar jembatannya terang kembali,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assalamualaikum pak gub saya pengurus paguyuban pedagang pujasera dan pariwisata masjid agung demak sudah 15 tahun kami diberi harapan palsu oleh pemkab demak  dinas pariwisata demak karena penataan alunalun dan areal wisata yang tidak jelas karena berubahubah tiap waktusehingga temanteman kami sering merugi seakan akan kami para pedagang p4mad dubuat sebagai kelincu percobaan kebijakan yang jauh dari bijak demikia laporan kami matur suwun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lapor saya okada arle sandi email  okadaarlegmailcom lapor pak gub pelayanan di rsud sunan kalijaga demak sangat tidak profesional perawat terlalu santai merawat pasien dan kebanyakan kurang sabar dan tidak ramah melayani pasien sop di igd juga kurang memperhatikan pasien contohnya  pasien baru masuk igd keluarga yang harus mengambil infus dulu lewat apotek kenapa tidak langsung di berikan oleh perawatnya dan juga pelayanan perawat saat pasien sudah diruangan rawat inap kurang memperhatikan keadaan pasien dan cuek dengan pasien yang ada sampai2 infus habispun tidak di cek oleh perawat untung ada keluarganya kalau tidak ada trus gimana nasib pasien mohon di tindaklanjuti semoga tidak ada korban dari pasien yang tidak diperhatikan oleh perawat terima kasih,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lapor lapor pak ganjar pengurusan surat nikah di desa sumberejo demak mencapai satu juta lebih mengurusnya harus melalui modin tidak boleh mengurus sendiri tolong di tindak karena sangat merugikan warga karena seharus pembayaran nikah hanya 600rb itupun kalo nikah tidak di kua terimakasih,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lapor saya khabibi warga desa weding kec bonang demak kantor kelurahan desa saya rabu 16092015 jam 0900 belum di buka dan tidak ada pegawai satup,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ass pak gub dijalan raya pucang gading banyak lapak2 pedagang terlihat sangat kumuh khususnya di komplek lapangan sma 3 mranggen mhn utk bisa di tertibkan wass,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lapor paktolong dibantu dskedondong lor rt 05rw 01 keckab demak kami lingkungan sekitar greja merasa terganggu atas asap pekatpengasapan ikan tanpa cerobong sangat mengganggu pernapasanbahaya buat balita mohon dibantu pakmksih,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lapor gimana nih semua anggota pkh sudah menerima pencairan uangnya kamis kemarin kecuali saya siti zaenab ds pulosari kec karangtengah demak,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
