Mohon bantuannya untuk menormalkan sistem di lpse kabupaten demak, dimana malam ini tgl 20 Juni 2014 sammpai dengan pengaduan ini kami kirimkan belum bisa upload dokumen pewawaran, dimana tahun 2013 kemaren kami juga mencoba mengikuti lelang di lpse kabupaten demak, tetapi tidak bisa upload atau gagal. demikian pengaduan ini atas perhatiannya diucapkan terima kasih. (file gagal upload terlampir);teknologi
ass pak gub..saya perangkat desa karangsari kec karangtengah demak.Di desa kami tanah bondo deso sekitar 8 h yang tercatat dalam c desa selama ini dikuasai oleh TNI AD. dan sampai sekarang masih dalam sengketa. Kami sudah minta bantuan ke bupati dengan harapan dapat membantu dalam penyelesaian sengketa ini.Tapi pada kenyataanya bupati tidak melakukan bantuan yang memadai.Kami mohon bantuan pak gub....;perselisihan
SELAMAT SORE BAPAK GUBERNUR ATAU YANG MEWAKILI.SAYA AHMAD ROFIQ INGIN MENYAMPAIKAN KELUHAN TENTANG LAMPU PENERANGAN YANG BERADA DI JEMBATAN DESA KEDUNGMUTIH KEC.WEDUNG KAB.DEMAK.BAHWA LAMPU DI JEMBATAN TERSEBUT SUDAH MATI SEMUA SEHINGGA KALAU MALAM GELAP SEKALI DAN DIKAWATIRKAN TIMBUL HAL-HAL YANG TIDAK DIINGINKAN.MOHON LAMPUNYA SEGERA DIGANTI BIAR JEMBATANNYA TERANG KEMBALI;infrastruktur
Assalamu'alaikum Pak Gub, saya pengurus Paguyuban Pedagang Pujasera dan Pariwisata Masjid Agung Demak. sudah 1,5 tahun kami diberi harapan palsu oleh Pemkab Demak ( Dinas Pariwisata Demak) karena Penataan Alun-alun dan Areal Wisata yang tidak jelas, karena berubah-ubah tiap waktu.sehingga teman-teman kami sering merugi. seakan akan kami para pedagang P4MAD dubuat sebagai kelincu percobaan kebijakan yang jauh dari BIJAK. Demikia laporan kami. Matur suwun....;pemerintah, wisata, administrasi
LAPOR saya okada arle sandi email : okada.arle@gmail.com Lapor pak GUB, pelayanan di RSUD Sunan Kalijaga Demak sangat tidak profesional, perawat terlalu santai merawat pasien dan kebanyakan kurang sabar dan tidak ramah melayani pasien. SOP di IGD juga kurang memperhatikan pasien contohnya : pasien baru masuk IGD, keluarga yang harus mengambil infus dulu lewat apotek, kenapa tidak langsung di berikan oleh perawatnya? dan juga pelayanan perawat saat pasien sudah diruangan rawat inap kurang memperhatikan keadaan pasien dan cuek dengan pasien yang ada sampai2 infus habispun tidak di cek oleh perawat, untung ada keluarganya kalau tidak ada trus gimana nasib pasien. mohon di tindaklanjuti.. semoga tidak ada korban dari pasien yang tidak diperhatikan oleh perawat. terima kasih.;kesehatan
LAPOR lapor pak Ganjar, pengurusan surat nikah di Desa Sumberejo Demak mencapai satu Juta lebih, mengurusnya harus melalui modin tidak boleh mengurus sendiri. Tolong di tindak, karena sangat merugikan warga. Karena seharus pembayaran nikah hanya 600rb, itupun kalo nikah tidak di KUA Terimakasih...;administrasi
LAPOR saya khabibi warga desa Weding, kec bonang, Demak, kantor kelurahan desa saya rabu 16.09.2015 jam 09.00 belum di buka, dan tidak ada pegawai satup;pemerintah
ASS. PAK GUB DIJALAN RAYA PUCANG GADING BANYAK LAPAK2 PEDAGANG TERLIHAT SANGAT KUMUH KHUSUSNYA DI KOMPLEK LAPANGAN SMA 3 MRANGGEN. MHN UTK BISA DI TERTIBKAN. WASS;fasilitas, ketertiban, lingkungan
LAPOR PAK,TOLONG DIBANTU. Ds.kedondong lor rt 05/rw 01 kec/kab DEMAK. kami lingkungan sekitar greja merasa terganggu atas asap pekat,pengasapan ikan tanpa cerobong. sangat mengganggu pernapasan,bahaya buat balita. mohon dibantu pak,mksih.;lingkungan
LAPOR Gimana nih? Semua anggota PKH sudah menerima pencairan uangnya kamis kemarin, kecuali saya SITI ZAENAB ds. Pulosari kec. Karangtengah Demak..;administrasi
Assalamualaikum wr wb Kepada pak gubernur jateng yang saya hormati. Selama ini di desa kami mempunyai tradisi membasmi hama tikus dengan memasang aliran listrik (PLN) di sawah dan udah sering terjadi yang menyebabkan kematian seseorang...mohon kiranya masyarakat di desa kami khususnya Di DESA MERAK KEC: DEMPET KAB: DEMAK di berikan penyuluhan atau edukasi tentang bahayanya listrik....??? Dan kasus selama ini yg menyebabkan kematian seseorang yang sudah terjadi cukup di selesaikan dengan secara damai yg di manfaatkan oleh oknum oknum yang tak bertanggung jawab di jadikan objek bisnis, tanpa ada pembelajaran efek jera kepada masyarakat dan aparat setempat maupun pemkab seakan -akan tutup mata tanpa ada ketegasan dan tindakan...kalau kasus seperti ini di biarkan terus menerus di kemudian hari pasti akan ada banyak korban lagi....mohon kiranya untuk di tindak lanjuti....terima kasih;listrik, ketertiban, bahaya, pungli
Saya ingin membuat akta kelahiran dan sudah sampai di Kelurahan Batursari, Mranggen, Demak tetapi pelayanan disana sangat tidak memuaskan dan perangkat kelurahannya datang jam 09.00 (padahal saya sudah menunggu dari jam 08.00) ketika saya ingin membuat akta kelahiran saya malah ditawarin untuk diuruskan pihak kelurahan sebesar Rp 200.000 padahal kalau mengurus sendiri itu tidak kena biaya alias free....;administrasi, pemerintah
Tetapi kenyataannya di daerah saya seorang perawat hanya di gaji 400/bulan, kita sebagai rakyat kecil hanya bisa mengeluhkan tentang kebijakan ini, padahal di dinas saya kira sudah mengetahui hal itu, sedangkan di daerah lainnya semua sudah di gaji sesuai UMK sedangkan di demak belom, mohon pak gubernur untuk menindak lanjutinya, terimakasih.;INVALID
