bulan,no_laporan,kelurahan,kategori,pengaduan,tgl_pengaduan,waktu_pengaduan,tgl_disposisi,waktu_disposisi,tgl_selesai,tgl_target_selesai,keterangan
01,120158,KALIDERES,Reklame/Spanduk Liar,Siang pak.maaf.saya menginformasikan kpd Bpk.ada semacm spanduk trpampang diwilayah Rt.10.Rw.1.kalidres.Jak-Bar.yg memiliki indikasi ~provokasi^trimakasih seblumnya atas respon Bapak.Tuhan menyertai Bapak.dari Tirza,2016-12-21,11:09:56,2016-12-22,9:47:10,2017-01-01,2017-01-05,"Penurunan spanduk bersama Lurah dan jajaran, Satpol PP, Panwas Kecamatan serta disaksikan oleh Ketua RT, Ketua RW dan Tokoh Masyarakat Kel. Kalideres "
01,120282,CENGKARENG TIMUR,Kelurahan,Selamat sore pak ahok saya warga dari cengkareng timur pak kebetulan saya cuti hari ini untuk mengurus ktp saya yang hilang sekaligus untuk perpanjang stnk dari jam 9 pagi di kelurahan dsuruh mondar mandir ke rt rw semua syaa lakuin namun info yang saya terima ktp bisa keluar setelah 3 bulan dan saya minta tolong surat keterangan sementara dibuatkan kata petugas keluarnya baru esok sehingga saya tidak bisa perpanjang stnk,2016-12-27,11:48:10,2016-12-28,,2017-01-06,2017-01-06,Sudah ditindak lanjuti
01,120546,SUKABUMI SELATAN,Kelurahan,"Siang pak.
Tolong ditindak lanjutin untuk kelurahan sukabumi selatan, kecamatan kebon jeruk. Kerja nya kacau pak. PENGURUSAN EKTP 4 BULAN BELUM SELESAI, PASUKAN ORANGE JARANG KERJA, HANYA DUDUK DAN FOTO!! Tolong perhatiannya pak. Dan disepanjang jalan pahlawan banyak gerobak sampah parkir dipinggir jalan, dan mohon mobil2 yg rumahnya tidak punya garasi tidak naro mobil dipinggir jalan, mengganggu jalan!! Mohon ditindak lanjutin pak",2016-12-27,15:54:48,2016-12-28,10:49:37,2017-01-07,2012-01-03,"Pencetakan e-KTP karena stok blanko dari Kemendagri kosong akibat lelang gagal, PPSU diarahkan mengenai tugas dan fungsi serta sanksi, Gerobak sampah dipindahkan ke lokasi yang tidak mengganggu, Penertiban gabungan dengan Sudin Perhubungan"
01,110829,GROGOL,Lain-lain,"Pak ahok, tolong di rombak halte grogol. Terutama sebelah kali grogol dekat citraland. Dekat tangga busway situ, pengamen pada ngumpul, anak jalanan, pedagang liar. Bnr2 gelap dan kumuh! Masalah ini sudah di laporkan berbulan2, namun tidak sepenuhnya tuntas. Belum lagi pengamen kerap duduk2 di besi pembatas jalan/pegangan untuk penjalan kaki. Trotoarnya juga sudah pecah! Sungguh kumuh. Mohon tambah lampu, relokasi pengamen, bus ngetem, pedagang liat, perbaiki trotoar untuk membuat aman dan rapi daerah situ ! Thanks. Gbu pak Ahok and team",2016-10-27,4:43:09,2016-12-29,12:07:12,2017-01-08,2017-01-08,"Untuk perombakan halte busway depan citraland sudah diproses dengan bersurat ke PT TansJakarta agar dilakukan kajian lanjutan terhadap halte busway tersebut, Untuk lampu penerangan jalan umum sudah diproses dengan bersurat ke sudin energy dan pju agar dipasangkan tiang dan lampu di sekitar trotoar tersebut"
01,120851,GROGOL,Lain-lain,Trs trang sja suami sy PPSU kantor lurah grogol tahun ini tdk di perpanjang lg kontrak kerjanya sbg PPSU,2016-12-30,9:14:46,2016-12-30,9:50:45,2017-01-09,2017-01-09,Sudah dilaksanakan tes penerimaan calon PPSU Kel. Grogol
01,120861,GROGOL,Lain-lain,Jelas ini ada permainan di kantor lurah grogol...skali lg sy mhon untuk bntuan bpk..,2016-12-30,9:37:52,2016-12-30,9:50:45,2017-01-09,2017-01-09,Sudah diumumkan persyaratan penerimaan calon PPSU Kel. Grogol
01,120860,GROGOL,Lain-lain,y mhon ini untuk di tndak lnjutin pak..msa org yg tdk ikut test krja lapangan  wkt test melamar PPSU lsng lulus..,2016-12-30,9:37:11,2016-12-30,9:50:45,2017-01-09,2017-01-09,"Sesuai Pergub No. 6 Tahun 2016 Lamp. II Bab. IV point 7 untuk memenuhi kebutuhan internal kantor kelurahan, dapat menugaskan max 5 orang PPSU, 1 orang Operator, 2 orang Pengamanan dan 2 orang Cleaning Service"
01,120853,GROGOL,Lain-lain,Bahkan di kelurahan grogol PPSU pmakai narkoba msh di perpnjng kontrak krjanya...ini psti ada yg tdk beres di kntor kelurahan grogol…,2016-12-30,9:19:51,2016-12-30,9:50:45,2017-01-09,2017-01-09,Salah satu persyaratan penerimaan PPSU Kel. Grogol harus dilengkapi surat keterangan Bebas Narkoba dari instansi yg menyediakan tes bebas Narkoba
01,120849,GROGOL,Lain-lain,Slamat pg pak ahok..sy mau tanya s`btulnya prosedur persyaratan apa sja yg bs masuk untuk di perpnjangnya kontrak kerja sbg PPSU...??,2016-12-30,9:14:26,2016-12-30,11:08:52,2017-01-09,2017-01-09,Persyaratan sudah tercantum dalam Pengumuman penerimaan calon PPSU Kel. Grogol
01,120856,GROGOL,Lain-lain,Dan perlu bpk ketahui di kntor lurah grogol ada kryawan status PPSU a/n.siti chodijah tp knyataannya dia hnya sbg OB kantor lurah grogol ,2016-12-30,9:29:56,2016-12-30,11:08:52,2017-01-09,2017-01-09,Pergub Nomor 6 Tahun 2016 Lamp. II Bab. IV point 7 
